id,time,country,province,city,lat,long
4904861,2017-06-21T00:28:02.200Z,CA,ON,Kingston,44.2257,-76.4824
5280770,2017-06-21T00:54:09.740Z,CA,ON,York,43.703,-79.512
5349116,2017-06-21T00:58:56.050Z,CA,AB,Calgary,51.1076,-114.158
4558203,2017-06-21T01:01:38.780Z,CA,MB,Winnipeg,49.893,-97.001
4681706,2017-06-21T01:09:57.310Z,CA,AB,Calgary,51.0419,-114.2
4695534,2017-06-21T01:11:09.017Z,CA,ON,Sudbury,46.5213,-80.947
4842453,2017-06-21T01:22:36.617Z,CA,SK,Saskatoon,52.1242,-106.665
5061222,2017-06-21T01:38:03.910Z,CA,ON,Cumberland,45.45,-75.25
4548869,2017-06-21T02:01:31.370Z,CA,ON,Waterloo,43.4634,-80.5201
5590482,2017-06-21T02:20:50.917Z,CA,NS,Sydney,46.1612,-60.1823
4979832,2017-06-21T02:32:56.090Z,CA,NB,Moncton,46.103,-64.7503
5006130,2017-06-21T02:34:26.560Z,CA,ON,Toronto,43.672,-79.3791
5038854,2017-06-21T02:36:40.383Z,CA,MB,Winnipeg,49.893,-97.001
5172906,2017-06-21T02:45:51.780Z,CA,ON,Toronto,43.6682,-79.4209
4557354,2017-06-21T03:01:36.747Z,CA,ON,Toronto,43.6666,-79.3823
4570929,2017-06-21T03:01:57.650Z,CA,ON,Newmarket,44.039,-79.4724
5475313,2017-06-21T03:11:05.113Z,CA,AB,Calgary,51.02087,-114.10618
5123309,2017-06-21T03:42:34.523Z,CA,AB,Taber,49.79315,-112.16358
5566970,2017-06-21T04:19:03.770Z,CA,ON,Renfrew,45.4716,-76.6848
5014892,2017-06-21T04:34:46.270Z,CA,AB,Ponoka,52.6755,-113.576
5374209,2017-06-21T05:00:26.840Z,CA,SK,Saskatoon,52.0991,-106.6494
4599364,2017-06-21T05:04:05.330Z,CA,ON,Saint Catharines,43.1941,-79.2525
4700205,2017-06-21T05:11:32.517Z,CA,BC,Surrey,49.1767,-122.87016
5528496,2017-06-21T05:15:51.503Z,CA,SK,Saskatoon,52.1004,-106.627
4926914,2017-06-21T05:29:59.643Z,CA,QC,Longueuil,45.50906,-73.4562
4981665,2017-06-21T05:33:04.033Z,CA,AB,Beaumont,53.3545,-113.414
5187647,2017-06-21T05:46:49.000Z,CA,QC,St-Gabriel-De-Kamouraska,47.7987,-69.2465
4557124,2017-06-21T06:01:36.463Z,CA,ON,Kitchener,43.4453,-80.4905
5445641,2017-06-21T06:07:53.057Z,CA,QC,Gatineau,45.43553,-75.78757
4820000,2017-06-21T06:20:41.717Z,CA,AB,Calgary,51.063,-113.889
5093729,2017-06-21T06:40:34.590Z,CA,ON,Scarborough,43.78145,-79.24731
5094076,2017-06-21T06:40:37.103Z,CA,AB,Calgary,51.0823,-113.9578
5468416,2017-06-21T07:10:25.967Z,CA,ON,Niagara-On-The-Lake,43.18318,-79.24462
5468681,2017-06-21T07:10:30.207Z,CA,ON,York,43.6934,-79.4857
5260638,2017-06-21T07:52:29.937Z,CA,ON,Toronto,43.6796,-79.4343
5298275,2017-06-21T07:55:04.167Z,CA,ON,Scarborough,43.7658,-79.185
5311334,2017-06-21T07:55:50.927Z,CA,ON,Lindsay,44.357,-78.7405
