id,time,country,province,city,lat,long
4766679,2017-06-21T00:16:28.683Z,CA,AB,Calgary,51.0823,-113.9578
4801881,2017-06-21T00:18:56.460Z,CA,ON,Etobicoke,43.74803,-79.57871
5125220,2017-06-21T00:42:42.153Z,CA,AB,Calgary,51.0104,-114.066
5254013,2017-06-21T00:52:06.980Z,CA,AB,Edmonton,53.43866,-113.52191
5009245,2017-06-21T01:34:35.813Z,CA,AB,Calgary,51.0242,-114.1004
4965199,2017-06-21T02:31:55.930Z,CA,AB,Calgary,51.0823,-113.9578
5318731,2017-06-21T02:56:05.857Z,CA,ON,Cambridge,43.3842,-80.2968
5332200,2017-06-21T02:57:11.947Z,CA,ON,Thornhill,43.8395,-79.3831
4604246,2017-06-21T03:04:25.017Z,CA,QC,Gatineau,45.46836,-75.69974
4787975,2017-06-21T03:17:46.710Z,CA,ON,Scarborough,43.69236,-79.27698
4623647,2017-06-21T04:05:47.353Z,CA,AB,Edmonton,53.4311,-113.519
5611903,2017-06-21T04:22:44.020Z,CA,ON,Mississauga,43.58268,-79.6674
4894293,2017-06-21T04:27:01.580Z,CA,QC,Brossard,45.4461,-73.485
5035889,2017-06-21T04:36:26.253Z,CA,ON,Ottawa,45.444,-75.693
5099436,2017-06-21T04:41:01.737Z,CA,AB,Airdrie,51.3082,-114.0398
4826920,2017-06-21T05:21:13.047Z,CA,ON,London,42.9399,-81.2709
5598619,2017-06-21T05:21:22.343Z,CA,AB,Calgary,51.063,-113.889
4870850,2017-06-21T05:24:52.860Z,CA,BC,Surrey,49.0374,-122.8299
5016220,2017-06-21T05:34:51.733Z,CA,ON,Kingston,44.2377,-76.5602
5033627,2017-06-21T05:36:13.930Z,CA,AB,Calgary,51.1414,-114.076
5080052,2017-06-21T05:39:23.040Z,CA,AB,Edmonton,53.4044,-113.5237
4531513,2017-06-21T06:00:37.170Z,CA,ON,Thornhill,43.8395,-79.3831
4580380,2017-06-21T06:02:27.423Z,CA,SK,Saskatoon,52.1225,-106.72488
5517905,2017-06-21T06:15:00.820Z,CA,AB,Edmonton,53.587,-113.441
5066120,2017-06-21T06:38:21.267Z,CA,AB,Calgary,51.0823,-113.9578
5175387,2017-06-21T06:45:56.497Z,CA,AB,Calgary,51.08338,-113.97778
4728607,2017-06-21T07:13:49.370Z,CA,ON,Barrie,44.3303,-79.7268
4731100,2017-06-21T07:13:54.453Z,CA,AB,Calgary,51.0419,-114.2
4835056,2017-06-21T07:21:53.677Z,CA,AB,Calgary,51.0242,-114.1004
4886012,2017-06-21T07:26:14.640Z,CA,AB,Calgary,51.04388,-113.9324
5254034,2017-06-21T07:52:06.990Z,CA,AB,Calgary,50.9505,-113.947
5341135,2017-06-21T07:58:10.543Z,CA,AB,Calgary,50.9505,-113.947
4566845,2017-06-21T08:01:53.277Z,CA,ON,Kingston,44.2585,-76.4897
5106010,2017-06-21T08:41:27.970Z,CA,BC,North Vancouver,49.32863,-123.12047
5270632,2017-06-21T08:53:13.557Z,CA,ON,Thunder Bay,48.417,-89.256
