id,time,country,province,city,lat,long
5508182,2017-06-21T00:13:50.533Z,CA,ON,Toronto,43.6459,-79.3857
5606488,2017-06-21T00:22:08.357Z,CA,BC,North Vancouver,49.3094,-123.057
5171037,2017-06-21T00:45:44.163Z,CA,AB,Calgary,51.04176,-113.99983
4550099,2017-06-21T01:01:30.683Z,CA,ON,London,42.9529,-81.3239
4596456,2017-06-21T01:03:43.613Z,CA,AB,Edmonton,53.5181,-113.5797
5532623,2017-06-21T01:16:18.693Z,CA,NS,Halifax,44.6988,-63.664
4802074,2017-06-21T01:19:01.040Z,CA,ON,Thornhill,43.8395,-79.3831
4843104,2017-06-21T01:22:40.910Z,CA,AB,Edmonton,53.4154,-113.4178
5082081,2017-06-21T01:39:33.010Z,CA,ON,Thornhill,43.8395,-79.3831
5574542,2017-06-21T02:19:19.927Z,CA,ON,Oakville,43.4309,-79.7767
4840382,2017-06-21T02:22:18.367Z,CA,ON,Peterborough,44.3311,-78.3331
4990166,2017-06-21T02:33:37.450Z,CA,AB,Edmonton,53.5129,-113.623
5031567,2017-06-21T02:36:05.027Z,CA,AB,Calgary,51.1387,-114.2015
5194404,2017-06-21T02:47:22.770Z,CA,ON,Thornhill,43.8395,-79.3831
5388611,2017-06-21T03:01:44.307Z,CA,ON,Etobicoke,43.62326,-79.51941
4649852,2017-06-21T03:07:27.430Z,CA,ON,Toronto,43.6459,-79.3857
5545316,2017-06-21T03:17:34.180Z,CA,AB,Calgary,51.07793,-114.10838
5531857,2017-06-21T04:16:10.250Z,CA,AB,Calgary,50.9819,-114.1004
4996222,2017-06-21T04:33:57.080Z,CA,ON,Toronto,43.7068,-79.3991
5188692,2017-06-21T04:46:59.647Z,CA,AB,Edmonton,53.5185,-113.6579
4541039,2017-06-21T05:01:21.487Z,CA,AB,Edmonton,53.61245,-113.53369
5503934,2017-06-21T05:13:29.027Z,CA,AB,Okotoks,50.72939,-113.95359
4711780,2017-06-21T06:12:30.257Z,CA,ON,Toronto,43.6682,-79.4209
4540933,2017-06-21T07:01:16.657Z,CA,AB,Edmonton,53.6313,-113.5245
5392918,2017-06-21T07:02:16.280Z,CA,AB,Calgary,51.0621,-114.1159
4581159,2017-06-21T07:02:26.187Z,CA,SK,Saskatoon,52.1225,-106.7249
4873194,2017-06-21T07:25:12.810Z,CA,AB,Calgary,51.1264,-114.1419
5201441,2017-06-21T07:48:03.140Z,CA,AB,Calgary,50.8889,-113.991
5219115,2017-06-21T07:49:22.177Z,CA,ON,Kingston,44.23281,-76.49216
5403091,2017-06-21T08:03:15.057Z,CA,ON,Alliston,44.1492,-79.8553
5508033,2017-06-21T08:13:46.810Z,CA,ON,Sarnia,42.9864,-82.3638
5322776,2017-06-21T08:56:17.820Z,CA,AB,Calgary,51.0799,-114.081
4643764,2017-06-21T09:07:08.030Z,CA,AB,Calgary,51.0494,-113.9564
