id,time,country,province,city,lat,long
5363802,2017-06-21T00:59:40.950Z,CA,AB,Leduc,53.2617,-113.549
4574769,2017-06-21T01:01:58.077Z,CA,ON,Orillia,44.6078,-79.4175
4607438,2017-06-21T01:04:39.637Z,CA,ON,Toronto,43.6796,-79.4343
5449596,2017-06-21T01:08:30.263Z,CA,AB,Calgary,50.9819,-114.1004
4667534,2017-06-21T01:08:44.860Z,CA,ON,Ottawa,45.4019,-75.7513
5495200,2017-06-21T01:12:45.860Z,CA,BC,Kamloops,50.6469,-120.37
5505116,2017-06-21T01:13:33.890Z,CA,QC,Verdun,45.46202,-73.57117
4849855,2017-06-21T01:23:11.833Z,CA,ON,Toronto,43.6735,-79.403
5278509,2017-06-21T01:54:03.757Z,CA,ON,Milton,43.51976,-79.84619
4547922,2017-06-21T02:01:33.303Z,CA,AB,Edmonton,53.54812,-113.59423
5549312,2017-06-21T02:17:42.180Z,CA,BC,Victoria,48.48649,-123.33759
5238042,2017-06-21T02:50:55.997Z,CA,AB,Edmonton,53.4579,-113.412
5327176,2017-06-21T02:56:48.373Z,CA,AB,Edmonton,53.44144,-113.43615
4824694,2017-06-21T03:21:03.893Z,CA,ON,Burlington,43.39277,-79.78853
4965759,2017-06-21T03:32:01.240Z,CA,NB,Moncton,46.1033,-64.815
5179025,2017-06-21T03:46:12.597Z,CA,ON,North York,43.7677,-79.4126
4872875,2017-06-21T04:25:12.847Z,CA,AB,Calgary,51.0433,-114.064
5308099,2017-06-21T04:55:43.250Z,CA,SK,Saskatoon,52.1225,-106.7249
5414269,2017-06-21T05:04:29.367Z,CA,ON,Toronto,43.6651,-79.4369
5213785,2017-06-21T05:48:51.393Z,CA,AB,Edmonton,53.44144,-113.43615
5338249,2017-06-21T05:57:48.860Z,CA,ON,Thornhill,43.8395,-79.3831
4563224,2017-06-21T06:01:49.807Z,CA,ON,Kingston,44.2377,-76.5602
4642268,2017-06-21T06:07:03.083Z,CA,ON,Milton,43.5152,-79.8802
4690892,2017-06-21T06:10:46.190Z,CA,AB,Calgary,51.1229,-114.189
5506151,2017-06-21T06:13:35.410Z,CA,ON,Guelph,43.5776,-80.2201
5531731,2017-06-21T06:16:12.280Z,CA,ON,Toronto,43.66447,-79.37998
4944944,2017-06-21T06:30:59.600Z,CA,SK,Saskatoon,52.1225,-106.72488
4614385,2017-06-21T07:05:09.847Z,CA,QC,Longueuil,45.5189,-73.4613
5552182,2017-06-21T07:17:53.360Z,CA,ON,Saint Catharines,43.1954,-79.2189
5592368,2017-06-21T07:21:06.607Z,CA,ON,Mississauga,43.5769,-79.6283
5608610,2017-06-21T07:22:23.650Z,CA,BC,Delta,49.0208,-123.057
4949273,2017-06-21T07:31:12.463Z,CA,AB,Airdrie,51.3082,-114.0398
5381508,2017-06-21T08:01:07.573Z,CA,NB,Fredericton,45.9527,-66.6558
4911599,2017-06-21T08:28:28.393Z,CA,SK,Saskatoon,52.1225,-106.72488
4954403,2017-06-21T08:31:25.890Z,CA,ON,Concord,43.8137,-79.50371
4987802,2017-06-21T08:33:26.973Z,CA,ON,Wiarton,44.793,-81.0227
5248905,2017-06-21T08:51:36.870Z,CA,ON,Brantford,43.16594,-80.26062
5296348,2017-06-21T08:54:57.303Z,CA,AB,Calgary,51.0823,-113.9578
5483437,2017-06-21T09:11:31.747Z,CA,AB,Calgary,51.0621,-114.1159
4745752,2017-06-21T09:15:01.060Z,CA,BC,Lindell Beach,49.034,-122.01
5610184,2017-06-21T09:22:37.633Z,CA,AB,Calgary,50.9076,-114.064
4990867,2017-06-21T09:33:40.827Z,CA,ON,Kingston,44.2257,-76.4824
5067906,2017-06-21T09:38:30.133Z,CA,AB,Calgary,51.0481,-114.07
5148292,2017-06-21T09:44:11.490Z,CA,ON,Ancaster,43.208,-79.9652
5177674,2017-06-21T09:46:10.160Z,CA,ON,Thunder Bay,48.4527,-89.2162
5272805,2017-06-21T09:53:23.573Z,CA,SK,Saskatoon,52.1225,-106.72488
5351870,2017-06-21T09:59:01.510Z,CA,ON,Mississauga,43.5982,-79.6344
4543587,2017-06-21T10:01:21.653Z,CA,ON,Timmins,48.4773,-81.3364
4899274,2017-06-21T10:27:22.310Z,CA,AB,Edmonton,53.58424,-113.41599
5031031,2017-06-21T10:36:04.473Z,CA,QC,Saint-Laurent,45.50376,-73.68476
4762285,2017-06-21T11:16:08.880Z,CA,NB,Fredericton,45.9527,-66.6558
4913545,2017-06-21T11:28:49.443Z,CA,SK,Saskatoon,52.148,-106.681
5089732,2017-06-21T11:40:17.390Z,CA,ON,East York,43.7067,-79.3068
4562841,2017-06-21T12:01:48.620Z,CA,AB,Edmonton,53.522,-113.459
4762830,2017-06-21T12:16:08.760Z,CA,AB,Three Hills,51.6988,-113.268
4526111,2017-06-21T13:00:21.643Z,CA,AB,Lethbridge,49.6994,-112.822
5411426,2017-06-21T13:04:14.160Z,CA,ON,Ottawa,45.3882,-75.7299
4652811,2017-06-21T13:07:32.093Z,CA,AB,Calgary,51.0081,-114.073
5537121,2017-06-21T13:16:46.790Z,CA,QC,Montréal,45.5435,-73.6341
5382249,2017-06-21T14:01:07.810Z,CA,NS,Halifax,44.6496,-63.6133
