id,time,country,province,city,lat,long
4651119,2017-06-21T00:07:27.400Z,CA,NB,Moncton,46.09975,-64.77395
4719322,2017-06-21T00:13:09.940Z,CA,QC,Sainte-Foy,46.7823,-71.2882
5023898,2017-06-21T00:35:26.113Z,CA,AB,Edmonton,53.44218,-113.44523
5312451,2017-06-21T00:55:50.757Z,CA,ON,Mississauga,43.5769,-79.6283
5354723,2017-06-21T00:59:11.420Z,CA,SK,Saskatoon,52.1225,-106.72488
4931092,2017-06-21T01:30:22.200Z,CA,ON,Orillia,44.6078,-79.4175
5097299,2017-06-21T01:40:50.243Z,CA,AB,Edmonton,53.4567,-113.5801
5205360,2017-06-21T01:48:15.827Z,CA,AB,Calgary,51.0196,-114.20029
5331936,2017-06-21T01:57:09.580Z,CA,ON,Markham,43.89576,-79.31566
5453353,2017-06-21T02:09:02.753Z,CA,AB,Calgary,50.9712,-114.01173
4698993,2017-06-21T02:11:29.280Z,CA,ON,Markham,43.8747,-79.2599
5565922,2017-06-21T02:18:50.650Z,CA,AB,Edmonton,53.43028,-113.62512
5216981,2017-06-21T02:49:13.297Z,CA,ON,Mississauga,43.697,-79.65
4552664,2017-06-21T03:01:32.520Z,CA,QC,Sainte-Foy,46.7823,-71.2882
4593172,2017-06-21T03:03:23.623Z,CA,AB,Calgary,51.0486,-113.968
5440373,2017-06-21T03:07:12.787Z,CA,ON,Mississauga,43.603,-79.737
5015092,2017-06-21T03:34:46.247Z,CA,AB,Airdrie,51.2889,-114.015
5090207,2017-06-21T03:40:20.447Z,CA,ON,Toronto,43.6862,-79.402
5167471,2017-06-21T03:45:32.367Z,CA,ON,Brantford,43.1772,-80.248
4747908,2017-06-21T04:15:05.740Z,CA,AB,Calgary,51.0823,-114.142
4896359,2017-06-21T04:27:11.220Z,CA,ON,London,42.9399,-81.2709
4910208,2017-06-21T04:28:22.013Z,CA,BC,Delta,49.09022,-123.04723
5037591,2017-06-21T04:36:33.583Z,CA,AB,Calgary,51.0242,-114.1004
5256245,2017-06-21T04:52:16.723Z,CA,AB,Calgary,51.1111,-114.0477
5346865,2017-06-21T05:58:40.450Z,CA,ON,Brampton,43.7476,-79.6912
4682212,2017-06-21T06:09:58.840Z,CA,AB,Calgary,50.9278,-113.9682
4695967,2017-06-21T06:11:14.343Z,CA,AB,Edmonton,53.50737,-113.4745
4981585,2017-06-21T06:33:01.843Z,CA,AB,Edmonton,53.6313,-113.5245
5226848,2017-06-21T06:50:01.330Z,CA,AB,Calgary,51.0823,-113.9578
4547425,2017-06-21T07:01:29.463Z,CA,ON,Guelph,43.5776,-80.2201
4676432,2017-06-21T07:09:29.733Z,CA,AB,Edmonton,53.59161,-113.39005
4707457,2017-06-21T07:12:09.670Z,CA,ON,Toronto,43.6531,-79.43683
5583837,2017-06-21T07:20:15.610Z,CA,ON,Sault Sainte Marie,46.52605,-84.36355
5306297,2017-06-21T07:55:35.620Z,CA,ON,Aurora,44.01,-79.6826
4605958,2017-06-21T08:04:38.017Z,CA,BC,Vancouver,49.2501,-123.038
4665161,2017-06-21T08:08:32.480Z,CA,ON,Mississauga,43.5355,-79.6915
5101429,2017-06-21T08:41:14.873Z,CA,ON,Guelph,43.5215,-80.2338
5116186,2017-06-21T08:42:03.533Z,CA,SK,Saskatoon,52.1225,-106.72488
5192796,2017-06-21T08:47:16.000Z,CA,QC,Trois-Rivières-Ouest,46.34234,-72.63605
5435348,2017-06-21T09:06:53.030Z,CA,SK,Saskatoon,52.0991,-106.6494
5143424,2017-06-21T09:43:51.290Z,CA,AB,Calgary,51.1264,-114.1419
5409981,2017-06-21T10:04:14.417Z,CA,ON,Ottawa,45.42745,-75.68286
4612838,2017-06-21T10:05:00.847Z,CA,AB,Calgary,51.0242,-114.1004
4689911,2017-06-21T10:10:37.560Z,CA,ON,Mississauga,43.5869,-79.7559
4885987,2017-06-21T10:26:13.597Z,CA,SK,Saskatoon,52.1225,-106.72488
5028950,2017-06-21T10:35:56.640Z,CA,ON,Brampton,43.6595,-79.7834
5153422,2017-06-21T10:44:23.657Z,CA,ON,Mississauga,43.5924,-79.6953
5420629,2017-06-21T11:04:57.503Z,CA,ON,Cambridge,43.33,-80.2879
4873955,2017-06-21T11:25:13.763Z,CA,ON,Vanier,45.4355,-75.6656
4876609,2017-06-21T11:25:32.727Z,CA,AB,Grande Prairie,55.165,-118.795
4899323,2017-06-21T11:27:22.910Z,CA,AB,Edmonton,53.58424,-113.41599
4931186,2017-06-21T11:30:22.377Z,CA,ON,Timmins,48.4773,-81.3364
5260573,2017-06-21T11:52:32.320Z,CA,NL,Grand Falls-Windsor,48.9341,-55.6512
5302680,2017-06-21T11:55:23.343Z,CA,AB,Calgary,50.92633,-113.93144
4578537,2017-06-21T12:02:15.987Z,CA,AB,Edmonton,53.4143,-113.426
4709237,2017-06-21T12:12:18.183Z,CA,ON,York,43.703,-79.512
4857232,2017-06-21T12:23:45.800Z,CA,ON,Ottawa,45.3617,-75.7905
4963570,2017-06-21T12:31:51.617Z,CA,ON,Burlington,43.3756,-79.8145
5069204,2017-06-21T12:38:37.937Z,CA,AB,Calgary,50.9722,-114.062
4534273,2017-06-21T13:00:53.693Z,CA,QC,Montréal-Nord,45.6168,-73.61798
4543899,2017-06-21T13:01:22.180Z,CA,ON,Fort Erie,42.9052,-78.9365
4688077,2017-06-21T13:10:30.593Z,CA,ON,Thornhill,43.7979,-79.4331
4712826,2017-06-21T13:12:35.997Z,CA,BC,Invermere,50.5,-116.0333
4723862,2017-06-21T13:13:30.923Z,CA,AB,Sherwood Park,53.52279,-113.33155
4826108,2017-06-21T13:21:06.977Z,CA,AB,Edmonton,53.59728,-113.43922
5043768,2017-06-21T13:37:00.610Z,CA,ON,Brampton,43.65948,-79.78347
5544940,2017-06-21T14:17:31.613Z,CA,AB,Barrhead,54.1334,-114.4021
4881122,2017-06-21T14:25:53.657Z,CA,ON,Richmond Hill,43.9221,-79.4632
4933193,2017-06-21T14:30:23.197Z,CA,ON,Mississauga,43.697,-79.65
5032984,2017-06-21T14:36:12.730Z,CA,AB,Kneehill,51.33333,-112.78771
5371939,2017-06-21T15:00:17.607Z,CA,QC,Lasalle,45.4363,-73.6215
5452594,2017-06-21T15:08:58.007Z,CA,BC,Vancouver,49.28398,-123.79089
4817695,2017-06-21T15:20:29.993Z,CA,ON,Cambridge,43.39859,-80.36317
5386201,2017-06-21T16:01:33.147Z,CA,AB,Fort Mcmurray,56.7141,-111.38
4733560,2017-06-21T16:14:04.787Z,CA,NL,St. John's,47.5144,-52.6566
4872468,2017-06-21T16:25:04.390Z,CA,AB,Calgary,51.1264,-114.1419
4943489,2017-06-21T16:30:58.200Z,CA,ON,Mississauga,43.5738,-79.7193
5309027,2017-06-21T16:55:45.683Z,CA,AB,Calgary,50.9505,-113.947
4551765,2017-06-21T17:01:32.790Z,CA,ON,Windsor,42.2908,-82.987
4565712,2017-06-21T17:01:51.457Z,CA,ON,Thunder Bay,48.4084,-89.255
5470046,2017-06-21T17:10:34.383Z,CA,AB,Innisfail,52.0269,-113.9507
4790866,2017-06-21T17:17:58.893Z,CA,QC,Anjou,45.6036,-73.55361
4996014,2017-06-21T17:33:53.333Z,CA,AB,Calgary,51.0571,-114.077
5048980,2017-06-21T17:37:24.890Z,CA,ON,Scarborough,43.8315,-79.2599
5069674,2017-06-21T17:38:40.050Z,CA,ON,Toronto,43.7028,-79.3877
5247041,2017-06-21T17:51:27.543Z,CA,AB,Red Deer,52.2456,-113.75093
5279720,2017-06-21T17:54:06.700Z,CA,QC,Saint-Laurent,45.50381,-73.68475
4553333,2017-06-21T18:01:34.547Z,CA,ON,Guelph,43.5425,-80.2676
4690464,2017-06-21T18:10:45.670Z,CA,AB,Calgary,51.1563,-114.0572
5498699,2017-06-21T18:13:03.043Z,CA,ON,Toronto,43.6447,-79.3841
5218158,2017-06-21T18:49:13.370Z,CA,AB,Calgary,51.0609,-114.21833
4607470,2017-06-21T19:04:39.673Z,CA,ON,Scarborough,43.7658,-79.185
4663347,2017-06-21T19:08:27.907Z,CA,AB,Calgary,51.0495,-114.072
5150506,2017-06-21T19:44:19.713Z,CA,ON,Mississauga,43.5738,-79.7193
5246453,2017-06-21T19:51:26.657Z,CA,AB,Calgary,51.1414,-114.076
5281418,2017-06-21T19:54:13.950Z,CA,AB,Calgary,51.1626,-113.9537
5595102,2017-06-21T20:21:07.370Z,CA,AB,Edmonton,53.4501,-113.461
5114899,2017-06-21T20:42:03.283Z,CA,ON,Ottawa,45.4177,-75.6977
5334053,2017-06-21T20:57:24.397Z,CA,AB,Calgary,51.0475,-114.068
4611084,2017-06-21T21:04:54.897Z,CA,ON,Niagara Falls,43.0966,-79.1276
5535095,2017-06-21T21:16:32.330Z,CA,SK,Saskatoon,52.1349,-106.65785
5056985,2017-06-21T21:37:49.247Z,CA,ON,Toronto,43.6682,-79.4209
4605174,2017-06-21T22:04:28.020Z,CA,AB,Edmonton,53.58879,-113.4465
4699269,2017-06-21T22:11:32.690Z,CA,AB,Fort Mcmurray,56.664,-111.1357
5514397,2017-06-21T22:14:45.310Z,CA,AB,Fort Mcmurray,56.7377,-111.438
5071265,2017-06-21T22:38:45.300Z,CA,QC,Lachine,45.4526,-73.717
