id,time,country,province,city,lat,long
5063625,2017-06-21T00:38:13.730Z,CA,AB,Calgary,50.91646,-114.1249
5119498,2017-06-21T00:42:14.573Z,CA,QC,Montréal,45.4955,-73.59221
4562488,2017-06-21T01:01:49.497Z,CA,ON,Kingston,44.2377,-76.5602
5407892,2017-06-21T01:03:58.670Z,CA,NL,Woodfords,47.31733,-52.81859
4658793,2017-06-21T01:08:03.260Z,CA,ON,Saint Catharines,43.1644,-79.2456
5143835,2017-06-21T01:43:58.280Z,CA,ON,Brantford,43.1772,-80.248
5466851,2017-06-21T02:10:19.057Z,CA,AB,Edmonton,53.587,-113.441
5142154,2017-06-21T02:43:46.067Z,CA,ON,Toronto,43.63,-79.477
5178878,2017-06-21T02:46:12.327Z,CA,AB,Calgary,51.1264,-114.1419
5217159,2017-06-21T02:49:13.463Z,CA,AB,Okotoks,50.7258,-113.974
4888280,2017-06-21T03:26:23.880Z,CA,ON,Toronto,43.6862,-79.402
4957405,2017-06-21T03:31:34.683Z,CA,ON,Mississauga,43.61147,-79.60398
5189907,2017-06-21T03:47:06.943Z,CA,ON,Toronto,43.6417,-79.3773
5231024,2017-06-21T03:50:25.177Z,CA,AB,Calgary,51.09422,-113.99881
5246326,2017-06-21T03:51:28.057Z,CA,AB,Edmonton,53.6258,-113.5068
5281714,2017-06-21T03:54:13.850Z,CA,ON,Pickering,43.8296,-79.1365
4545503,2017-06-21T04:01:29.510Z,CA,ON,London,42.9816,-81.2473
5432283,2017-06-21T04:06:26.830Z,CA,AB,Okotoks,50.7362,-113.9695
5195649,2017-06-21T04:47:33.030Z,CA,ON,North York,43.7318,-79.4182
4585618,2017-06-21T05:02:52.933Z,CA,AB,Calgary,50.9316,-114.096
5108310,2017-06-21T05:41:34.040Z,CA,ON,Toronto,43.6651,-79.4369
5276069,2017-06-21T05:53:47.547Z,CA,ON,Markham,43.88,-79.2543
5423889,2017-06-21T06:05:15.323Z,CA,ON,Thornhill,43.8395,-79.3831
4684814,2017-06-21T06:10:16.413Z,CA,ON,Mississauga,43.5769,-79.6283
4763989,2017-06-21T06:16:13.563Z,CA,ON,Burlington,43.35263,-79.7928
4813975,2017-06-21T06:20:18.360Z,CA,ON,Oakville,43.4309,-79.7767
5203078,2017-06-21T06:48:08.383Z,CA,ON,London,43.0004,-81.2343
5350885,2017-06-21T06:59:01.660Z,CA,ON,Mississauga,43.5869,-79.7559
4546924,2017-06-21T07:01:29.627Z,CA,AB,Calgary,51.1377,-114.149
4694337,2017-06-21T07:11:00.817Z,CA,AB,Edmonton,53.5185,-113.6579
5588492,2017-06-21T07:20:40.067Z,CA,SK,Saskatoon,52.131,-106.752
5236622,2017-06-21T07:50:51.530Z,CA,ON,North York,43.7318,-79.4182
4859659,2017-06-21T08:23:51.203Z,CA,AB,Calgary,51.053,-114.161
5022104,2017-06-21T08:35:14.887Z,CA,AB,Red Deer,52.2627,-113.767
4646689,2017-06-21T09:07:14.697Z,CA,ON,Scarborough,43.83597,-79.22788
5553294,2017-06-21T09:17:52.493Z,CA,ON,Kingston,44.2538,-76.5393
5309084,2017-06-21T09:55:44.203Z,CA,QC,Saint-Jérôme,45.8933,-74.1367
4541993,2017-06-21T10:01:21.627Z,CA,ON,Essex,42.172,-82.823
4606953,2017-06-21T10:04:39.653Z,CA,ON,Bowmanville,43.911,-78.6806
4640773,2017-06-21T10:06:56.047Z,CA,AB,Edmonton,53.5442,-113.495
5539010,2017-06-21T10:16:55.617Z,CA,BC,New Westminster,49.20721,-122.91931
4969372,2017-06-21T10:32:21.303Z,CA,ON,Mississauga,43.5869,-79.7559
5041729,2017-06-21T10:36:53.443Z,CA,AB,Calgary,51.0823,-113.9578
5275011,2017-06-21T10:53:42.493Z,CA,ON,Mississauga,43.6403,-79.7042
4748353,2017-06-21T11:15:07.027Z,CA,AB,Fort Mcmurray,56.7377,-111.438
4867173,2017-06-21T11:24:35.570Z,CA,AB,Spruce Grove,53.54628,-113.88183
4579347,2017-06-21T12:02:22.950Z,CA,AB,Calgary,51.0524,-114.038
5319470,2017-06-21T12:56:05.707Z,CA,QC,Montréal,45.537,-73.679
4700905,2017-06-21T13:11:37.207Z,CA,BC,Abbotsford,49.05022,-122.32839
4875313,2017-06-21T13:25:24.340Z,CA,QC,Longueuil,45.50906,-73.4562
4935525,2017-06-21T13:30:37.733Z,CA,ON,Markham,43.8412,-79.3262
5047987,2017-06-21T13:37:13.803Z,CA,AB,Edmonton,53.5185,-113.6579
5075081,2017-06-21T13:39:00.527Z,CA,NS,Cole Harbour,44.6613,-63.46323
5091068,2017-06-21T13:40:20.440Z,CA,ON,Windsor,42.2654,-83.0261
5122520,2017-06-21T13:42:27.703Z,CA,QC,Outremont,45.5218,-73.6031
5294320,2017-06-21T13:54:47.903Z,CA,ON,Whitby,43.8983,-78.9377
5330609,2017-06-21T13:57:02.247Z,CA,ON,North York,43.7631,-79.33803
5366123,2017-06-21T13:59:49.567Z,CA,ON,Toronto,43.6666,-79.3823
4698855,2017-06-21T14:11:27.340Z,CA,AB,Sherwood Park,53.55065,-113.27569
5157526,2017-06-21T14:44:43.817Z,CA,AB,Edmonton,53.5129,-113.623
4666658,2017-06-21T15:08:42.087Z,CA,ON,Toronto,43.7129,-79.3888
5496329,2017-06-21T15:12:57.957Z,CA,ON,Etobicoke,43.6879,-79.557
5071810,2017-06-21T15:38:46.190Z,CA,AB,Spruce Grove,53.54628,-113.88183
4761018,2017-06-21T16:15:58.520Z,CA,AB,Calgary,51.0486,-113.968
5583276,2017-06-21T16:20:16.333Z,CA,ON,Ottawa,45.3804,-75.7468
5611578,2017-06-21T16:22:41.993Z,CA,AB,Edmonton,53.4829,-113.499
4636105,2017-06-21T17:06:35.577Z,CA,AB,Edmonton,53.4593,-113.4145
4673682,2017-06-21T17:09:12.550Z,CA,AB,Calgary,51.0419,-114.2
4688387,2017-06-21T17:10:31.603Z,CA,QC,Laval,45.6409,-73.7542
5524108,2017-06-21T17:15:33.230Z,CA,ON,Scarborough,43.7295,-79.2629
5282456,2017-06-21T17:54:17.070Z,CA,BC,Abbotsford,49.05252,-122.31261
5367021,2017-06-21T17:59:55.643Z,CA,QC,Montréal,45.50986,-73.55284
5374637,2017-06-21T18:00:33.087Z,CA,NB,Moncton,46.1029,-64.7728
5028047,2017-06-21T18:35:49.380Z,CA,AB,Edmonton,53.57322,-113.46529
4636928,2017-06-21T19:06:41.697Z,CA,BC,Victoria,48.4534,-123.434
4767881,2017-06-21T19:16:38.310Z,CA,SK,Saskatoon,52.1242,-106.665
4812641,2017-06-21T20:20:09.507Z,CA,AB,Lethbridge,49.6764,-112.802
4833264,2017-06-21T20:21:40.287Z,CA,ON,Sudbury,46.5213,-80.947
5010395,2017-06-21T20:34:39.750Z,CA,BC,Vancouver,49.2601,-123.11495
5084823,2017-06-21T20:39:50.320Z,CA,NL,Bay Roberts,47.5833,-53.3
5189753,2017-06-21T20:47:03.553Z,CA,AB,Edmonton,53.587,-113.441
5572835,2017-06-21T21:19:20.423Z,CA,ON,Toronto,43.6862,-79.402
5135706,2017-06-21T21:43:24.797Z,CA,AB,Edmonton,53.44139,-113.57743
5306632,2017-06-21T21:55:37.497Z,CA,AB,Edmonton,53.5577,-113.5959
4590720,2017-06-21T22:03:10.060Z,CA,AB,Edmonton,53.4179,-113.5785
4694363,2017-06-21T22:11:01.887Z,CA,AB,Calgary,51.0571,-114.077
4747523,2017-06-21T22:15:05.687Z,CA,AB,Calgary,51.053,-114.161
4764258,2017-06-21T22:16:15.257Z,CA,AB,Edmonton,53.47359,-113.39653
4789254,2017-06-21T22:17:54.340Z,CA,NS,Lower Sackville,44.75582,-63.66163
4840869,2017-06-21T22:22:25.657Z,CA,ON,Toronto,43.6682,-79.4209
5143880,2017-06-21T22:43:59.500Z,CA,ON,Midland,44.75007,-79.8805
