id,time,country,province,city,lat,long
4835001,2017-06-21T00:21:52.893Z,CA,AB,Edmonton,53.5442,-113.495
5210265,2017-06-21T00:48:34.383Z,CA,AB,Calgary,51.1264,-114.1419
5014136,2017-06-21T01:34:44.447Z,CA,SK,Regina,50.42402,-104.51907
5103147,2017-06-21T02:41:18.023Z,CA,AB,Calgary,51.1229,-114.189
5165362,2017-06-21T02:45:21.500Z,CA,SK,Saskatoon,52.1225,-106.72488
4940366,2017-06-21T03:30:47.130Z,CA,AB,Calgary,51.03922,-113.97842
4719244,2017-06-21T04:13:08.827Z,CA,QC,Montréal,45.53327,-73.68156
4769024,2017-06-21T04:16:38.973Z,CA,AB,Calgary,50.9685,-114.1183
4614121,2017-06-21T05:05:09.467Z,CA,AB,Airdrie,51.3082,-114.0398
4621433,2017-06-21T05:05:40.263Z,CA,ON,Woolwich,43.5425,-80.4278
4721653,2017-06-21T05:13:25.543Z,CA,AB,Red Deer,52.2694,-113.769
5548413,2017-06-21T05:17:37.970Z,CA,ON,Kanata,45.3387,-75.9001
5015871,2017-06-21T05:34:51.710Z,CA,ON,Newmarket,44.039,-79.4724
5391645,2017-06-21T06:02:12.857Z,CA,ON,Toronto,43.7028,-79.3877
4590088,2017-06-21T06:03:09.710Z,CA,AB,Calgary,50.9093,-114.1028
5506702,2017-06-21T06:13:39.420Z,CA,AB,Calgary,51.133,-113.856
4757123,2017-06-21T06:15:43.263Z,CA,AB,Lethbridge,49.6994,-112.822
4965090,2017-06-21T06:31:54.727Z,CA,AB,Calgary,51.0378,-114.08
5342667,2017-06-21T06:58:16.057Z,CA,AB,Sherwood Park,53.5263,-113.287
5544539,2017-06-21T07:17:23.437Z,CA,ON,Toronto,43.6459,-79.3857
4843794,2017-06-21T07:22:43.990Z,CA,BC,Invermere,50.4913,-116.04
4931350,2017-06-21T07:30:18.923Z,CA,ON,Toronto,43.6606,-79.4635
4736277,2017-06-21T08:14:20.137Z,CA,ON,Mississauga,43.5769,-79.6283
4943769,2017-06-21T08:30:53.737Z,CA,ON,Toronto,43.6477,-79.4174
4680779,2017-06-21T09:09:50.487Z,CA,AB,Edmonton,53.43193,-113.4413
4759070,2017-06-21T09:15:52.890Z,CA,ON,Mississauga,43.5869,-79.7559
4846804,2017-06-21T09:22:55.567Z,CA,ON,York,43.7028,-79.5156
5352273,2017-06-21T09:59:01.670Z,CA,ON,Toronto,43.68137,-79.45636
4902735,2017-06-21T10:27:48.003Z,CA,AB,Red Deer,52.2895,-113.814
5483109,2017-06-21T11:11:30.800Z,CA,AB,Calgary,51.0378,-114.065
5089630,2017-06-21T11:40:16.227Z,CA,AB,Calgary,51.0636,-114.143
5196623,2017-06-21T11:47:41.890Z,CA,ON,Richmond Hill,43.8428,-79.4239
5422299,2017-06-21T12:05:05.713Z,CA,ON,Toronto,43.7129,-79.3888
4630780,2017-06-21T12:06:13.367Z,CA,QC,Saint-Laurent,45.505,-73.7101
5446060,2017-06-21T12:07:53.503Z,CA,AB,Calgary,51.1581,-113.938
5584051,2017-06-21T12:20:19.550Z,CA,AB,Sherwood Park,53.5263,-113.287
4955964,2017-06-21T12:31:28.267Z,CA,AB,Edmonton,53.5046,-113.453
5030779,2017-06-21T12:35:59.820Z,CA,AB,Edmonton,53.5314,-113.582
