id,time,country,province,city,lat,long,POIID
5539911,2017-06-21T00:17:03.910Z,CA,ON,North York,43.787,-79.4169,POI3
5160610,2017-06-21T00:45:05.977Z,CA,ON,Barrie,44.3303,-79.7268,POI3
5212359,2017-06-21T00:48:42.800Z,CA,AB,Calgary,51.0486,-113.968,POI1
5212359,2017-06-21T00:48:42.800Z,CA,AB,Calgary,51.0486,-113.968,POI2
4799589,2017-06-21T01:18:44.730Z,CA,AB,Duffield,53.5224,-114.216,POI1
4799589,2017-06-21T01:18:44.730Z,CA,AB,Duffield,53.5224,-114.216,POI2
5614047,2017-06-21T01:22:53.280Z,CA,ON,Mississauga,43.5634,-79.6509,POI3
5161569,2017-06-21T01:45:05.700Z,CA,SK,Saskatoon,52.1477,-106.572,POI1
5161569,2017-06-21T01:45:05.700Z,CA,SK,Saskatoon,52.1477,-106.572,POI2
5203955,2017-06-21T01:48:12.850Z,CA,ON,North York,43.7535,-79.4472,POI3
4567101,2017-06-21T02:01:54.930Z,CA,ON,Cobourg,43.9645,-78.1712,POI3
4602069,2017-06-21T02:04:23.617Z,CA,ON,Oakville,43.4462,-79.6688,POI3
5462857,2017-06-21T02:09:59.180Z,CA,AB,Calgary,51.0829,-114.095,POI1
5462857,2017-06-21T02:09:59.180Z,CA,AB,Calgary,51.0829,-114.095,POI2
5520240,2017-06-21T02:15:15.273Z,CA,ON,Brockville,44.617,-75.7036,POI3
5549361,2017-06-21T02:17:43.603Z,CA,AB,Fort Mcmurray,56.72732,-111.37248,POI1
5549361,2017-06-21T02:17:43.603Z,CA,AB,Fort Mcmurray,56.72732,-111.37248,POI2
4805166,2017-06-21T02:19:17.640Z,CA,NB,Moncton,46.10276,-64.8519,POI4
5611544,2017-06-21T02:22:40.860Z,CA,AB,Red Deer,52.1193,-113.867,POI1
5611544,2017-06-21T02:22:40.860Z,CA,AB,Red Deer,52.1193,-113.867,POI2
4916331,2017-06-21T02:29:03.520Z,CA,SK,Saskatoon,52.1225,-106.72488,POI1
4916331,2017-06-21T02:29:03.520Z,CA,SK,Saskatoon,52.1225,-106.72488,POI2
5078699,2017-06-21T02:39:16.853Z,CA,AB,Edmonton,53.5451,-113.512,POI1
5078699,2017-06-21T02:39:16.853Z,CA,AB,Edmonton,53.5451,-113.512,POI2
4799543,2017-06-21T03:18:44.323Z,CA,QC,Anjou,45.6089,-73.5448,POI3
5599960,2017-06-21T03:21:21.830Z,CA,ON,Toronto,43.7797,-79.4156,POI3
5211080,2017-06-21T03:48:36.440Z,CA,AB,Edmonton,53.57745,-113.54698,POI1
5211080,2017-06-21T03:48:36.440Z,CA,AB,Edmonton,53.57745,-113.54698,POI2
4577297,2017-06-21T04:02:10.533Z,CA,AB,Calgary,51.0412,-114.0762,POI1
4577297,2017-06-21T04:02:10.533Z,CA,AB,Calgary,51.0412,-114.0762,POI2
5410628,2017-06-21T04:04:14.330Z,CA,ON,Mississauga,43.5738,-79.7193,POI3
5545438,2017-06-21T04:17:31.820Z,CA,AB,Saint Albert,53.65239,-113.6322,POI1
5545438,2017-06-21T04:17:31.820Z,CA,AB,Saint Albert,53.65239,-113.6322,POI2
5272186,2017-06-21T04:53:17.850Z,CA,QC,Montréal,45.5238,-73.5932,POI3
5116787,2017-06-21T05:42:03.550Z,CA,ON,Pembroke,45.827,-77.1116,POI3
5333840,2017-06-21T05:57:23.380Z,CA,ON,North York,43.7256,-79.3427,POI3
