id,time,country,province,city,lat,long,POIID
4720441,2017-06-21T00:13:10.193Z,CA,AB,Calgary,51.1414,-114.076,POI1
4720441,2017-06-21T00:13:10.193Z,CA,AB,Calgary,51.1414,-114.076,POI2
5610410,2017-06-21T00:22:38.010Z,CA,AB,Calgary,50.9316,-114.096,POI1
5610410,2017-06-21T00:22:38.010Z,CA,AB,Calgary,50.9316,-114.096,POI2
5614548,2017-06-21T00:22:57.103Z,CA,AB,Red Deer,52.2651,-113.794,POI1
5614548,2017-06-21T00:22:57.103Z,CA,AB,Red Deer,52.2651,-113.794,POI2
5354008,2017-06-21T00:59:08.907Z,CA,AB,Edmonton,53.4143,-113.426,POI1
5354008,2017-06-21T00:59:08.907Z,CA,AB,Edmonton,53.4143,-113.426,POI2
4798626,2017-06-21T01:18:41.943Z,CA,BC,Richmond,49.16536,-123.12665,POI1
4798626,2017-06-21T01:18:41.943Z,CA,BC,Richmond,49.16536,-123.12665,POI2
5570010,2017-06-21T01:19:04.847Z,CA,ON,Scarborough,43.74775,-79.26628,POI3
5243476,2017-06-21T01:51:14.207Z,CA,NB,Dieppe,46.0967,-64.7087,POI4
5286247,2017-06-21T01:54:29.290Z,CA,ON,Mississauga,43.57,-79.5808,POI3
4725473,2017-06-21T02:13:42.543Z,CA,QC,Hampstead,45.482,-73.6374,POI3
5528056,2017-06-21T02:15:49.150Z,CA,ON,Toronto,43.6459,-79.3857,POI3
4905382,2017-06-21T02:28:03.250Z,CA,AB,Edmonton,53.4564,-113.521,POI1
4905382,2017-06-21T02:28:03.250Z,CA,AB,Edmonton,53.4564,-113.521,POI2
5240022,2017-06-21T02:51:04.323Z,CA,AB,Airdrie,51.2732,-114.0287,POI1
5240022,2017-06-21T02:51:04.323Z,CA,AB,Airdrie,51.2732,-114.0287,POI2
5385463,2017-06-21T03:01:24.287Z,CA,SK,Saskatoon,52.2834,-106.6679,POI1
5385463,2017-06-21T03:01:24.287Z,CA,SK,Saskatoon,52.2834,-106.6679,POI2
4564352,2017-06-21T03:01:52.560Z,CA,ON,Sudbury,46.5213,-80.947,POI3
4571900,2017-06-21T03:01:55.937Z,CA,ON,Newmarket,44.0587,-79.4591,POI3
5402627,2017-06-21T03:03:08.800Z,CA,ON,Toronto,43.6477,-79.4174,POI3
4716963,2017-06-21T03:12:51.723Z,CA,AB,Edmonton,53.44144,-113.43615,POI1
4716963,2017-06-21T03:12:51.723Z,CA,AB,Edmonton,53.44144,-113.43615,POI2
5065293,2017-06-21T03:38:15.247Z,CA,AB,Canmore,51.0876,-115.3461,POI1
5065293,2017-06-21T03:38:15.247Z,CA,AB,Canmore,51.0876,-115.3461,POI2
5351152,2017-06-21T03:59:01.363Z,CA,ON,Ottawa,45.3745,-75.7095,POI3
5393963,2017-06-21T04:02:19.040Z,CA,ON,Barrie,44.3303,-79.7268,POI3
4674921,2017-06-21T04:09:18.217Z,CA,ON,Mississauga,43.5355,-79.6915,POI3
4794602,2017-06-21T04:18:21.733Z,CA,ON,Burlington,43.3889,-79.7682,POI3
4880540,2017-06-21T06:25:50.107Z,CA,ON,Kitchener,43.4553,-80.4845,POI3
5317155,2017-06-21T06:56:04.357Z,CA,AB,Beaumont,53.43276,-113.43939,POI1
5317155,2017-06-21T06:56:04.357Z,CA,AB,Beaumont,53.43276,-113.43939,POI2
4694337,2017-06-21T07:11:00.817Z,CA,AB,Edmonton,53.5185,-113.6579,POI1
4694337,2017-06-21T07:11:00.817Z,CA,AB,Edmonton,53.5185,-113.6579,POI2
4770654,2017-06-21T07:16:45.077Z,CA,AB,Calgary,51.04318,-114.00109,POI1
4770654,2017-06-21T07:16:45.077Z,CA,AB,Calgary,51.04318,-114.00109,POI2
4861540,2017-06-21T07:24:07.957Z,CA,AB,Edmonton,53.49909,-113.5006,POI1
4861540,2017-06-21T07:24:07.957Z,CA,AB,Edmonton,53.49909,-113.5006,POI2
5116351,2017-06-21T07:42:05.987Z,CA,ON,Dundas,43.2649,-79.9555,POI3
5306297,2017-06-21T07:55:35.620Z,CA,ON,Aurora,44.01,-79.6826,POI3
5526707,2017-06-21T08:15:45.550Z,CA,BC,Prince George,53.894,-122.75055,POI1
5526707,2017-06-21T08:15:45.550Z,CA,BC,Prince George,53.894,-122.75055,POI2
5350178,2017-06-21T08:59:01.530Z,CA,AB,Calgary,51.0486,-113.968,POI1
5350178,2017-06-21T08:59:01.530Z,CA,AB,Calgary,51.0486,-113.968,POI2
5005159,2017-06-21T09:34:26.553Z,CA,ON,Ottawa,45.42,-75.6924,POI3
4553791,2017-06-21T10:01:36.870Z,CA,ON,Georgetown,43.5976,-79.94,POI3
5075768,2017-06-21T10:39:05.320Z,CA,AB,Edmonton,53.4564,-113.521,POI1
5075768,2017-06-21T10:39:05.320Z,CA,AB,Edmonton,53.4564,-113.521,POI2
4695987,2017-06-21T11:11:15.173Z,CA,AB,Calgary,51.0203,-114.152,POI1
4695987,2017-06-21T11:11:15.173Z,CA,AB,Calgary,51.0203,-114.152,POI2
4794331,2017-06-21T11:18:19.143Z,CA,ON,Toronto,43.7068,-79.3991,POI3
4812768,2017-06-21T11:20:12.210Z,CA,ON,Windsor,42.2287,-83.0182,POI3
4900016,2017-06-21T11:27:24.887Z,CA,ON,Georgetown,43.6492,-79.9117,POI3
5042650,2017-06-21T11:36:56.207Z,CA,SK,Saskatoon,52.1225,-106.72488,POI1
5042650,2017-06-21T11:36:56.207Z,CA,SK,Saskatoon,52.1225,-106.72488,POI2
5112379,2017-06-21T11:41:48.977Z,CA,AB,Ponoka,52.67286,-113.5977,POI1
5112379,2017-06-21T11:41:48.977Z,CA,AB,Ponoka,52.67286,-113.5977,POI2
5152325,2017-06-21T11:44:22.957Z,CA,AB,Leduc,53.2668,-113.552,POI1
5152325,2017-06-21T11:44:22.957Z,CA,AB,Leduc,53.2668,-113.552,POI2
5167780,2017-06-21T11:45:32.150Z,CA,AB,Calgary,51.0486,-113.968,POI1
5167780,2017-06-21T11:45:32.150Z,CA,AB,Calgary,51.0486,-113.968,POI2
5307351,2017-06-21T11:55:35.893Z,CA,ON,Scarborough,43.7703,-79.2165,POI3
5457585,2017-06-21T12:09:17.210Z,CA,AB,Calgary,51.05287,-113.94355,POI1
5457585,2017-06-21T12:09:17.210Z,CA,AB,Calgary,51.05287,-113.94355,POI2
5466594,2017-06-21T12:10:15.573Z,CA,AB,Fort Mcmurray,56.74313,-111.47648,POI1
5466594,2017-06-21T12:10:15.573Z,CA,AB,Fort Mcmurray,56.74313,-111.47648,POI2
5476587,2017-06-21T12:11:03.973Z,CA,ON,Toronto,43.6646,-79.3696,POI3
5480294,2017-06-21T12:11:18.230Z,CA,ON,Ottawa,45.4455,-75.6894,POI3
5484860,2017-06-21T12:11:42.210Z,CA,BC,Terrace,54.5163,-128.6035,POI1
5484860,2017-06-21T12:11:42.210Z,CA,BC,Terrace,54.5163,-128.6035,POI2
4943580,2017-06-21T12:30:53.583Z,CA,ON,Toronto,43.6477,-79.4174,POI3
4958888,2017-06-21T12:31:39.770Z,CA,AB,Edmonton,53.50748,-113.68446,POI1
4958888,2017-06-21T12:31:39.770Z,CA,AB,Edmonton,53.50748,-113.68446,POI2
5211135,2017-06-21T12:48:35.213Z,CA,QC,Montréal,45.4934,-73.5837,POI3
4526695,2017-06-21T13:00:21.477Z,CA,ON,Etobicoke,43.69971,-79.53618,POI3
5080544,2017-06-21T13:39:27.227Z,CA,ON,North York,43.7459,-79.3522,POI3
4555697,2017-06-21T14:01:35.590Z,CA,ON,London,43.0004,-81.2343,POI3
5256125,2017-06-21T14:52:18.327Z,CA,AB,Calgary,51.0481,-114.07,POI1
5256125,2017-06-21T14:52:18.327Z,CA,AB,Calgary,51.0481,-114.07,POI2
4516915,2017-06-21T15:00:01.310Z,CA,ON,London,43.0091,-81.1765,POI3
4775351,2017-06-21T15:17:02.053Z,CA,ON,Toronto,43.6546,-79.3879,POI3
5576881,2017-06-21T15:19:34.087Z,CA,AB,Calgary,50.88997,-113.95227,POI1
5576881,2017-06-21T15:19:34.087Z,CA,AB,Calgary,50.88997,-113.95227,POI2
5585735,2017-06-21T15:20:27.177Z,CA,SK,Neville,50.03241,-107.77043,POI1
5585735,2017-06-21T15:20:27.177Z,CA,SK,Neville,50.03241,-107.77043,POI2
4818653,2017-06-21T15:20:38.400Z,CA,AB,Calgary,51.1188,-113.9471,POI1
4818653,2017-06-21T15:20:38.400Z,CA,AB,Calgary,51.1188,-113.9471,POI2
4996756,2017-06-21T15:33:56.707Z,CA,ON,Brampton,43.7592,-79.7605,POI3
5039089,2017-06-21T15:36:43.287Z,CA,QC,Trois-Rivières,46.3656,-72.57707,POI3
4547683,2017-06-21T16:01:30.870Z,CA,ON,Kitchener,43.4278,-80.5135,POI3
4630867,2017-06-21T16:06:11.433Z,CA,QC,Montréal-Nord,45.6096,-73.6251,POI3
4792466,2017-06-21T16:18:09.697Z,CA,ON,Midland,44.5956,-79.866,POI3
5565839,2017-06-21T16:18:49.497Z,CA,AB,Red Deer,52.2468,-113.788,POI1
5565839,2017-06-21T16:18:49.497Z,CA,AB,Red Deer,52.2468,-113.788,POI2
4917217,2017-06-21T16:29:06.473Z,CA,AB,Medicine Hat,50.0082,-110.6247,POI1
4917217,2017-06-21T16:29:06.473Z,CA,AB,Medicine Hat,50.0082,-110.6247,POI2
5222192,2017-06-21T16:49:36.190Z,CA,AB,Beaumont,53.3588,-113.40506,POI1
5222192,2017-06-21T16:49:36.190Z,CA,AB,Beaumont,53.3588,-113.40506,POI2
5322197,2017-06-21T16:56:15.070Z,CA,AB,Red Deer,52.3885,-113.8007,POI1
5322197,2017-06-21T16:56:15.070Z,CA,AB,Red Deer,52.3885,-113.8007,POI2
5397234,2017-06-21T17:02:29.857Z,CA,BC,Vancouver,49.23903,-123.16355,POI1
5397234,2017-06-21T17:02:29.857Z,CA,BC,Vancouver,49.23903,-123.16355,POI2
5464387,2017-06-21T17:10:10.823Z,CA,ON,Toronto,43.7537,-79.2659,POI3
4734573,2017-06-21T17:14:08.103Z,CA,AB,Calgary,51.01968,-114.20034,POI1
4734573,2017-06-21T17:14:08.103Z,CA,AB,Calgary,51.01968,-114.20034,POI2
4764387,2017-06-21T17:16:19.880Z,CA,AB,Edmonton,53.47685,-113.4194,POI1
4764387,2017-06-21T17:16:19.880Z,CA,AB,Edmonton,53.47685,-113.4194,POI2
5606938,2017-06-21T17:22:07.577Z,CA,AB,Calgary,50.915,-114.06,POI1
5606938,2017-06-21T17:22:07.577Z,CA,AB,Calgary,50.915,-114.06,POI2
4940888,2017-06-21T17:30:50.430Z,CA,BC,Langley,49.1688,-122.65,POI1
4940888,2017-06-21T17:30:50.430Z,CA,BC,Langley,49.1688,-122.65,POI2
5372454,2017-06-21T18:00:17.683Z,CA,ON,Toronto,43.6682,-79.4209,POI3
5083261,2017-06-21T18:39:39.987Z,CA,ON,Etobicoke,43.74799,-79.59997,POI3
5203489,2017-06-21T18:48:12.430Z,CA,ON,Whitby,43.8873,-78.9422,POI3
4582413,2017-06-21T19:02:30.463Z,CA,AB,Calgary,50.9316,-114.096,POI1
4582413,2017-06-21T19:02:30.463Z,CA,AB,Calgary,50.9316,-114.096,POI2
4679085,2017-06-21T19:09:44.050Z,CA,AB,Calgary,51.0818,-113.959,POI1
4679085,2017-06-21T19:09:44.050Z,CA,AB,Calgary,51.0818,-113.959,POI2
5540895,2017-06-21T19:17:09.953Z,CA,BC,Mission,49.13631,-122.2912,POI1
5540895,2017-06-21T19:17:09.953Z,CA,BC,Mission,49.13631,-122.2912,POI2
5331024,2017-06-21T19:57:05.273Z,CA,AB,Spruce Grove,53.55532,-113.9324,POI1
5331024,2017-06-21T19:57:05.273Z,CA,AB,Spruce Grove,53.55532,-113.9324,POI2
4662563,2017-06-21T20:08:21.433Z,CA,ON,North York,43.74452,-79.51824,POI3
5560142,2017-06-21T20:18:28.090Z,CA,ON,Whitby,43.8873,-78.9422,POI3
5062847,2017-06-21T20:38:08.527Z,CA,SK,Regina,50.42402,-104.51907,POI1
5062847,2017-06-21T20:38:08.527Z,CA,SK,Regina,50.42402,-104.51907,POI2
4533630,2017-06-21T21:00:51.010Z,CA,AB,Edmonton,53.55848,-113.49825,POI1
4533630,2017-06-21T21:00:51.010Z,CA,AB,Edmonton,53.55848,-113.49825,POI2
4596049,2017-06-21T21:03:38.937Z,CA,ON,Brampton,43.7033,-79.7603,POI3
5187388,2017-06-21T21:46:52.450Z,CA,ON,Toronto,43.6682,-79.4209,POI3
5479266,2017-06-21T22:11:15.487Z,CA,ON,Cornwall,45.0238,-74.7491,POI3
5023848,2017-06-21T22:35:23.550Z,CA,ON,Mississauga,43.5924,-79.6953,POI3
