id,time,country,province,city,lat,long,POIID
4910708,2017-06-21T00:28:25.337Z,CA,MB,Winnipeg,49.8388,-97.1196,POI1
4910708,2017-06-21T00:28:25.337Z,CA,MB,Winnipeg,49.8388,-97.1196,POI2
5020917,2017-06-21T00:35:06.040Z,CA,ON,Brampton,43.6594,-79.7834,POI3
5373856,2017-06-21T01:00:23.737Z,CA,ON,Burlington,43.35,-79.758,POI3
5153524,2017-06-21T01:44:28.230Z,CA,AB,Edmonton,53.4653,-113.386,POI1
5153524,2017-06-21T01:44:28.230Z,CA,AB,Edmonton,53.4653,-113.386,POI2
5205838,2017-06-21T01:48:21.013Z,CA,ON,Toronto,43.66665,-79.31162,POI3
5275401,2017-06-21T01:53:40.853Z,CA,BC,Kaslo,49.91122,-116.90508,POI1
5275401,2017-06-21T01:53:40.853Z,CA,BC,Kaslo,49.91122,-116.90508,POI2
4852847,2017-06-21T02:23:28.827Z,CA,ON,Toronto,43.6651,-79.4369,POI3
5026792,2017-06-21T02:35:43.767Z,CA,AB,Edmonton,53.61568,-113.54193,POI1
5026792,2017-06-21T02:35:43.767Z,CA,AB,Edmonton,53.61568,-113.54193,POI2
5097139,2017-06-21T02:40:52.350Z,CA,AB,Edmonton,53.587,-113.441,POI1
5097139,2017-06-21T02:40:52.350Z,CA,AB,Edmonton,53.587,-113.441,POI2
4566391,2017-06-21T03:01:51.923Z,CA,ON,Ottawa,45.4455,-75.6894,POI3
5418618,2017-06-21T03:04:42.010Z,CA,AB,Red Deer,52.246,-113.791,POI1
5418618,2017-06-21T03:04:42.010Z,CA,AB,Red Deer,52.246,-113.791,POI2
5551622,2017-06-21T03:17:49.717Z,CA,ON,Toronto,43.6557,-79.3646,POI3
5099499,2017-06-21T03:41:03.320Z,CA,QC,Montréal,45.5294,-73.58,POI3
4596905,2017-06-21T04:03:47.027Z,CA,ON,Brampton,43.7536,-79.8022,POI3
4762468,2017-06-21T04:16:08.527Z,CA,QC,Anjou,45.6089,-73.5448,POI3
5061456,2017-06-21T04:38:03.920Z,CA,BC,Summerland,49.5908,-119.681,POI1
5061456,2017-06-21T04:38:03.920Z,CA,BC,Summerland,49.5908,-119.681,POI2
5103797,2017-06-21T04:41:19.437Z,CA,AB,Fort Mcmurray,56.72712,-111.37263,POI1
5103797,2017-06-21T04:41:19.437Z,CA,AB,Fort Mcmurray,56.72712,-111.37263,POI2
5172508,2017-06-21T04:45:46.097Z,CA,AB,Edmonton,53.4416,-113.4157,POI1
5172508,2017-06-21T04:45:46.097Z,CA,AB,Edmonton,53.4416,-113.4157,POI2
5347087,2017-06-21T04:58:40.823Z,CA,AB,Calgary,51.0468,-114.076,POI1
5347087,2017-06-21T04:58:40.823Z,CA,AB,Calgary,51.0468,-114.076,POI2
4617298,2017-06-21T05:05:24.603Z,CA,AB,Airdrie,51.2889,-114.015,POI1
4617298,2017-06-21T05:05:24.603Z,CA,AB,Airdrie,51.2889,-114.015,POI2
