id,time,country,province,city,lat,long,POIID
4863872,2017-06-21T00:24:16.970Z,CA,ON,Milton,43.5238,-79.8845,POI3
4922493,2017-06-21T00:29:33.113Z,CA,AB,Calgary,50.9632,-114.082,POI1
4922493,2017-06-21T00:29:33.113Z,CA,AB,Calgary,50.9632,-114.082,POI2
4698715,2017-06-21T01:11:29.210Z,CA,ON,Toronto,43.6512,-79.3761,POI3
4768118,2017-06-21T01:16:38.727Z,CA,AB,Calgary,50.9505,-113.947,POI1
4768118,2017-06-21T01:16:38.727Z,CA,AB,Calgary,50.9505,-113.947,POI2
4534173,2017-06-21T02:00:53.033Z,CA,ON,Thornhill,43.8395,-79.3831,POI3
5438451,2017-06-21T02:07:00.903Z,CA,ON,Pickering,43.8509,-79.0717,POI3
4772581,2017-06-21T02:16:52.707Z,CA,AB,Edmonton,53.51866,-113.63927,POI1
4772581,2017-06-21T02:16:52.707Z,CA,AB,Edmonton,53.51866,-113.63927,POI2
4826491,2017-06-21T02:21:13.390Z,CA,AB,Calgary,51.0381,-114.118,POI1
4826491,2017-06-21T02:21:13.390Z,CA,AB,Calgary,51.0381,-114.118,POI2
4859562,2017-06-21T02:23:48.883Z,CA,AB,Edmonton,53.5247,-113.616,POI1
4859562,2017-06-21T02:23:48.883Z,CA,AB,Edmonton,53.5247,-113.616,POI2
5076794,2017-06-21T02:39:10.360Z,CA,ON,Richmond Hill,43.95585,-79.44599,POI3
5226513,2017-06-21T02:49:59.390Z,CA,AB,Edmonton,53.60844,-113.45967,POI1
5226513,2017-06-21T02:49:59.390Z,CA,AB,Edmonton,53.60844,-113.45967,POI2
5302404,2017-06-21T02:55:20.593Z,CA,AB,Calgary,50.915,-114.06,POI1
5302404,2017-06-21T02:55:20.593Z,CA,AB,Calgary,50.915,-114.06,POI2
4728323,2017-06-21T03:13:49.667Z,CA,AB,Calgary,51.0486,-113.968,POI1
4728323,2017-06-21T03:13:49.667Z,CA,AB,Calgary,51.0486,-113.968,POI2
5590139,2017-06-21T03:20:50.247Z,CA,ON,North York,43.7677,-79.4126,POI3
4931862,2017-06-21T03:30:18.923Z,CA,AB,Beaumont,53.3501,-113.4187,POI1
4931862,2017-06-21T03:30:18.923Z,CA,AB,Beaumont,53.3501,-113.4187,POI2
5066056,2017-06-21T03:38:19.813Z,CA,ON,Thunder Bay,48.4117,-89.2451,POI3
4530117,2017-06-21T04:00:38.270Z,CA,ON,Markham,43.85883,-79.29809,POI3
4897021,2017-06-21T04:27:15.663Z,CA,AB,Edmonton,53.44218,-113.44523,POI1
4897021,2017-06-21T04:27:15.663Z,CA,AB,Edmonton,53.44218,-113.44523,POI2
4972731,2017-06-21T04:32:34.227Z,CA,ON,Toronto,43.66997,-79.47999,POI3
5070495,2017-06-21T04:38:39.527Z,CA,AB,Calgary,51.1414,-114.076,POI1
5070495,2017-06-21T04:38:39.527Z,CA,AB,Calgary,51.1414,-114.076,POI2
5562460,2017-06-21T05:18:34.767Z,CA,AB,Calgary,51.0373,-114.129,POI1
5562460,2017-06-21T05:18:34.767Z,CA,AB,Calgary,51.0373,-114.129,POI2
5337230,2017-06-21T05:57:45.833Z,CA,ON,Oshawa,43.9156,-78.8632,POI3
5348781,2017-06-21T05:58:52.690Z,CA,ON,Mississauga,43.5869,-79.7559,POI3
5365026,2017-06-21T05:59:47.250Z,CA,ON,Scarborough,43.7503,-79.3006,POI3
5409799,2017-06-21T06:04:14.317Z,CA,ON,Toronto,43.6587,-79.3966,POI3
5442240,2017-06-21T06:07:27.307Z,CA,AB,Edmonton,53.4579,-113.412,POI1
5442240,2017-06-21T06:07:27.307Z,CA,AB,Edmonton,53.4579,-113.412,POI2
5478533,2017-06-21T06:11:14.963Z,CA,ON,Oakville,43.4304,-79.7664,POI3
4812314,2017-06-21T06:20:08.050Z,CA,SK,Regina,50.4153,-104.6103,POI1
4812314,2017-06-21T06:20:08.050Z,CA,SK,Regina,50.4153,-104.6103,POI2
4854181,2017-06-21T06:23:31.257Z,CA,ON,Burlington,43.35135,-79.83694,POI3
5093729,2017-06-21T06:40:34.590Z,CA,ON,Scarborough,43.78145,-79.24731,POI3
5196934,2017-06-21T06:47:45.823Z,CA,QC,Verdun,45.461,-73.546,POI3
5374567,2017-06-21T07:00:26.820Z,CA,AB,Lacombe,52.4685,-113.748,POI1
5374567,2017-06-21T07:00:26.820Z,CA,AB,Lacombe,52.4685,-113.748,POI2
5428904,2017-06-21T07:05:59.050Z,CA,SK,Saskatoon,52.1225,-106.72488,POI1
5428904,2017-06-21T07:05:59.050Z,CA,SK,Saskatoon,52.1225,-106.72488,POI2
4689614,2017-06-21T07:10:36.880Z,CA,AB,Fort Mcmurray,56.7377,-111.438,POI1
